Scan #96,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #97,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #99,PSI,Stim Index,Stim Side,Ipsi,Contra,,Scan #100,PSI,Stim Index,Stim Side,Ipsi,Contra
1,29.9,1,R,TRUE,TRUE,,1,29.9,1,R,TRUE,TRUE,,1,30.3,1,R,TRUE,TRUE,,1,30,1,R,TRUE,TRUE
1,29.9,2,L,TRUE,TRUE,,1,29.9,2,L,TRUE,TRUE,,1,30.3,2,L,TRUE,TRUE,,1,30,2,R,TRUE,TRUE
1,29.9,3,R,TRUE,TRUE,,1,29.9,3,L,TRUE,TRUE,,1,30.3,3,R,TRUE,TRUE,,1,30,3,L,TRUE,TRUE
1,29.9,4,L,TRUE,TRUE,,1,29.9,4,R,TRUE,TRUE,,1,30.3,4,L,TRUE,TRUE,,1,30,4,R,TRUE,TRUE
1,29.9,5,R,TRUE,TRUE,,1,29.9,5,L,TRUE,TRUE,,1,30.3,5,L,TRUE,FALSE,,1,30,5,R,TRUE,TRUE
1,29.9,6,R,TRUE,TRUE,,1,29.9,6,R,TRUE,TRUE,,1,30.3,6,R,TRUE,FALSE,,1,30,6,L,TRUE,TRUE
1,29.9,7,L,TRUE,TRUE,,1,29.9,7,R,TRUE,TRUE,,1,30.3,7,R,TRUE,TRUE,,1,30,7,L,TRUE,TRUE
1,29.9,8,L,TRUE,TRUE,,1,29.9,8,L,TRUE,TRUE,,2,30.4,1,R,FALSE,FALSE,,1,30,8,L,TRUE,TRUE
2,29.7,1,L,TRUE,TRUE,,2,30.4,1,L,TRUE,TRUE,,2,30.4,2,L,TRUE,FALSE,,2,29.9,1,R,TRUE,TRUE
2,29.7,2,L,TRUE,TRUE,,2,30.4,2,R,TRUE,TRUE,,2,30.4,3,L,TRUE,TRUE,,2,29.9,2,L,TRUE,TRUE
2,29.7,3,R,TRUE,TRUE,,2,30.4,3,L,TRUE,TRUE,,2,30.4,4,R,TRUE,TRUE,,2,29.9,3,R,TRUE,TRUE
2,29.7,4,L,TRUE,FALSE,,2,30.4,4,L,TRUE,TRUE,,2,30.4,5,L,TRUE,FALSE,,2,29.9,4,L,TRUE,TRUE
2,29.7,5,R,TRUE,TRUE,,2,30.4,5,R,TRUE,TRUE,,2,30.4,6,L,TRUE,FALSE,,2,29.9,5,L,TRUE,TRUE
2,29.7,6,L,TRUE,TRUE,,2,30.4,6,R,TRUE,TRUE,,2,30.4,7,R,TRUE,FALSE,,2,29.9,6,R,TRUE,TRUE
2,29.7,7,R,TRUE,TRUE,,2,30.4,7,R,TRUE,TRUE,,2,30.4,8,R,TRUE,TRUE,,2,29.9,7,R,TRUE,TRUE
2,29.7,8,R,TRUE,TRUE,,2,30.4,8,L,TRUE,TRUE,,3,3.75,1,R,FALSE,FALSE,,2,29.9,8,L,TRUE,TRUE
3,3.75,1,L,FALSE,FALSE,,3,3.75,1,R,TRUE,FALSE,,3,3.75,2,L,FALSE,FALSE,,3,3.75,1,L,FALSE,FALSE
3,3.75,2,R,TRUE,FALSE,,3,3.75,2,R,FALSE,FALSE,,3,3.75,3,R,FALSE,FALSE,,3,3.75,2,L,FALSE,FALSE
3,3.75,3,L,FALSE,FALSE,,3,3.75,3,L,FALSE,FALSE,,3,3.75,4,R,FALSE,FALSE,,3,3.75,3,L,FALSE,FALSE
3,3.75,4,L,FALSE,FALSE,,3,3.75,4,R,TRUE,TRUE,,3,3.75,5,L,FALSE,FALSE,,3,3.75,4,R,TRUE,TRUE
3,3.75,5,R,TRUE,FALSE,,3,3.75,5,L,FALSE,FALSE,,3,3.75,6,R,FALSE,FALSE,,3,3.75,5,R,FALSE,FALSE
3,3.75,6,R,TRUE,FALSE,,3,3.75,6,R,FALSE,FALSE,,3,3.75,7,L,FALSE,FALSE,,3,3.75,6,R,FALSE,FALSE
3,3.75,7,R,TRUE,TRUE,,3,3.75,7,L,FALSE,FALSE,,3,3.75,8,L,FALSE,FALSE,,3,3.75,7,L,FALSE,FALSE
3,3.75,8,L,FALSE,FALSE,,3,3.75,8,L,FALSE,FALSE,,4,15,1,R,TRUE,FALSE,,3,3.75,8,R,TRUE,TRUE
4,15,1,L,TRUE,TRUE,,4,15.35,1,L,TRUE,TRUE,,4,15,2,R,TRUE,TRUE,,4,15.1,1,L,TRUE,FALSE
4,15,2,L,TRUE,TRUE,,4,15.35,2,L,FALSE,FALSE,,4,15,3,R,TRUE,FALSE,,4,15.1,2,L,TRUE,TRUE
4,15,3,R,TRUE,TRUE,,4,15.35,3,R,TRUE,TRUE,,4,15,4,L,FALSE,FALSE,,4,15.1,3,L,TRUE,FALSE
4,15,4,R,TRUE,TRUE,,4,15.35,4,L,TRUE,FALSE,,4,15,5,L,FALSE,FALSE,,4,15.1,4,R,TRUE,TRUE
4,15,5,L,TRUE,TRUE,,4,15.35,5,R,TRUE,FALSE,,4,15,6,R,FALSE,FALSE,,4,15.1,5,L,TRUE,FALSE
4,15,6,L,TRUE,TRUE,,4,15.35,6,L,FALSE,FALSE,,4,15,7,L,FALSE,FALSE,,4,15.1,6,R,TRUE,TRUE
4,15,7,R,TRUE,TRUE,,4,15.35,7,R,TRUE,FALSE,,4,15,8,L,TRUE,FALSE,,4,15.1,7,R,TRUE,TRUE
4,15,8,R,TRUE,TRUE,,4,15.35,8,R,TRUE,FALSE,,5,60.7,1,L,TRUE,TRUE,,4,15.1,8,R,TRUE,TRUE
5,60.1,1,L,TRUE,TRUE,,5,60.2,1,L,TRUE,TRUE,,5,60.7,2,L,TRUE,FALSE,,5,60.5,1,L,TRUE,TRUE
5,60.1,2,L,TRUE,TRUE,,5,60.2,2,R,TRUE,TRUE,,5,60.7,3,L,TRUE,TRUE,,5,60.5,2,R,TRUE,TRUE
5,60.1,3,R,TRUE,TRUE,,5,60.2,3,L,TRUE,TRUE,,5,60.7,4,R,TRUE,TRUE,,5,60.5,3,R,TRUE,TRUE
5,60.1,4,R,FALSE,FALSE,,5,60.2,4,R,TRUE,TRUE,,5,60.7,5,R,TRUE,TRUE,,5,60.5,4,L,TRUE,TRUE
5,60.1,5,R,TRUE,TRUE,,5,60.2,5,R,TRUE,FALSE,,5,60.7,6,L,TRUE,TRUE,,5,60.5,5,R,TRUE,TRUE
5,60.1,6,L,TRUE,TRUE,,5,60.2,6,L,TRUE,TRUE,,5,60.7,7,R,TRUE,TRUE,,5,60.5,6,L,TRUE,TRUE
5,60.1,7,R,TRUE,TRUE,,5,60.2,7,R,TRUE,FALSE,,5,60.7,8,R,TRUE,FALSE,,5,60.5,7,L,TRUE,TRUE
5,60.1,8,L,TRUE,TRUE,,5,60.2,8,L,TRUE,TRUE,,6,60.7,1,R,TRUE,TRUE,,5,60.5,8,R,TRUE,TRUE
6,60,1,L,TRUE,TRUE,,6,60.6,1,L,TRUE,TRUE,,6,60.7,2,L,TRUE,TRUE,,6,60.8,1,L,TRUE,TRUE
6,60,2,R,TRUE,TRUE,,6,60.6,2,R,TRUE,TRUE,,6,60.7,3,R,TRUE,TRUE,,6,60.8,2,R,TRUE,TRUE
6,60,3,L,TRUE,TRUE,,6,60.6,3,L,TRUE,TRUE,,6,60.7,4,L,TRUE,TRUE,,6,60.8,3,L,TRUE,TRUE
6,60,4,L,TRUE,TRUE,,6,60.6,4,R,TRUE,TRUE,,6,60.7,5,L,TRUE,TRUE,,6,60.8,4,R,TRUE,TRUE
6,60,5,L,TRUE,TRUE,,6,60.6,5,L,TRUE,TRUE,,6,60.7,6,R,TRUE,TRUE,,6,60.8,5,R,TRUE,TRUE
6,60,6,R,TRUE,TRUE,,6,60.6,6,L,FALSE,FALSE,,6,60.7,7,L,TRUE,FALSE,,6,60.8,6,L,TRUE,TRUE
6,60,7,R,TRUE,TRUE,,6,60.6,7,R,TRUE,TRUE,,6,60.7,8,R,TRUE,TRUE,,6,60.8,7,R,TRUE,TRUE
6,60,8,R,TRUE,TRUE,,6,60.6,8,R,TRUE,TRUE,,7,15.3,1,L,TRUE,TRUE,,6,60.8,8,L,TRUE,TRUE
7,15.3,1,R,TRUE,TRUE,,7,15,1,R,TRUE,TRUE,,7,15.3,2,L,FALSE,FALSE,,7,15.1,1,L,TRUE,TRUE
7,15.3,2,R,TRUE,TRUE,,7,15,2,R,TRUE,FALSE,,7,15.3,3,L,FALSE,FALSE,,7,15.1,2,R,TRUE,TRUE
7,15.3,3,R,TRUE,TRUE,,7,15,3,L,FALSE,FALSE,,7,15.3,4,R,TRUE,FALSE,,7,15.1,3,L,TRUE,TRUE
7,15.3,4,L,TRUE,TRUE,,7,15,4,L,FALSE,FALSE,,7,15.3,5,R,FALSE,FALSE,,7,15.1,4,L,TRUE,TRUE
7,15.3,5,R,TRUE,TRUE,,7,15,5,R,TRUE,FALSE,,7,15.3,6,L,FALSE,FALSE,,7,15.1,5,L,TRUE,TRUE
7,15.3,6,L,TRUE,TRUE,,7,15,6,R,TRUE,TRUE,,7,15.3,7,R,FALSE,FALSE,,7,15.1,6,R,TRUE,TRUE
7,15.3,7,L,TRUE,TRUE,,7,15,7,L,FALSE,FALSE,,7,15.3,8,R,TRUE,TRUE,,7,15.1,7,R,TRUE,FALSE
7,15.3,8,L,TRUE,FALSE,,7,15,8,L,FALSE,FALSE,,8,3.75,1,L,FALSE,FALSE,,7,15.1,8,R,TRUE,TRUE
8,3.75,1,R,TRUE,TRUE,,8,3.8,1,L,FALSE,FALSE,,8,3.75,2,R,FALSE,FALSE,,8,3.8,1,L,FALSE,FALSE
8,3.75,2,L,FALSE,FALSE,,8,3.8,2,R,FALSE,FALSE,,8,3.75,3,L,TRUE,TRUE,,8,3.8,2,R,FALSE,FALSE
8,3.75,3,L,FALSE,FALSE,,8,3.8,3,R,FALSE,FALSE,,8,3.75,4,R,TRUE,TRUE,,8,3.8,3,L,FALSE,FALSE
8,3.75,4,L,FALSE,FALSE,,8,3.8,4,R,FALSE,FALSE,,8,3.75,5,R,FALSE,FALSE,,8,3.8,4,R,FALSE,FALSE
8,3.75,5,R,FALSE,FALSE,,8,3.8,5,L,FALSE,FALSE,,8,3.75,6,R,FALSE,FALSE,,8,3.8,5,R,FALSE,FALSE
8,3.75,6,L,FALSE,FALSE,,8,3.8,6,R,FALSE,FALSE,,8,3.75,7,L,FALSE,FALSE,,8,3.8,6,L,FALSE,FALSE
8,3.75,7,R,FALSE,FALSE,,8,3.8,7,L,FALSE,FALSE,,8,3.75,8,L,FALSE,FALSE,,8,3.8,7,L,FALSE,FALSE
8,3.75,8,R,FALSE,FALSE,,8,3.8,8,L,FALSE,FALSE,,9,7.8,1,L,TRUE,TRUE,,8,3.8,8,R,FALSE,FALSE
9,7.5,1,R,TRUE,TRUE,,9,7.5,1,L,FALSE,FALSE,,9,7.8,2,R,FALSE,FALSE,,9,7.6,1,L,TRUE,FALSE
9,7.5,2,L,TRUE,TRUE,,9,7.5,2,L,FALSE,FALSE,,9,7.8,3,L,TRUE,TRUE,,9,7.6,2,L,FALSE,FALSE
9,7.5,3,L,TRUE,TRUE,,9,7.5,3,L,FALSE,FALSE,,9,7.8,4,L,FALSE,FALSE,,9,7.6,3,L,TRUE,TRUE
9,7.5,4,L,TRUE,FALSE,,9,7.5,4,R,TRUE,FALSE,,9,7.8,5,R,FALSE,FALSE,,9,7.6,4,R,TRUE,FALSE
9,7.5,5,R,TRUE,TRUE,,9,7.5,5,L,FALSE,FALSE,,9,7.8,6,R,FALSE,FALSE,,9,7.6,5,L,FALSE,FALSE
9,7.5,6,L,TRUE,FALSE,,9,7.5,6,R,FALSE,FALSE,,9,7.8,7,R,FALSE,FALSE,,9,7.6,6,R,FALSE,FALSE
9,7.5,7,R,TRUE,TRUE,,9,7.5,7,R,FALSE,FALSE,,9,7.8,8,L,FALSE,FALSE,,9,7.6,7,R,TRUE,FALSE
9,7.5,8,R,TRUE,TRUE,,9,7.5,8,R,TRUE,FALSE,,10,30,1,R,TRUE,FALSE,,9,7.6,8,R,FALSE,FALSE
10,30.4,1,L,TRUE,TRUE,,10,30.1,1,R,FALSE,TRUE,,10,30,2,R,FALSE,FALSE,,10,30.3,1,R,TRUE,TRUE
10,30.4,2,L,TRUE,TRUE,,10,30.1,2,L,TRUE,FALSE,,10,30,3,L,TRUE,TRUE,,10,30.3,2,R,TRUE,TRUE
10,30.4,3,L,TRUE,FALSE,,10,30.1,3,R,TRUE,FALSE,,10,30,4,L,TRUE,FALSE,,10,30.3,3,L,TRUE,TRUE
10,30.4,4,R,FALSE,FALSE,,10,30.1,4,L,FALSE,FALSE,,10,30,5,R,TRUE,TRUE,,10,30.3,4,L,TRUE,TRUE
10,30.4,5,R,TRUE,TRUE,,10,30.1,5,L,FALSE,FALSE,,10,30,6,R,TRUE,TRUE,,10,30.3,5,R,TRUE,TRUE
10,30.4,6,R,TRUE,TRUE,,10,30.1,6,R,TRUE,FALSE,,10,30,7,L,FALSE,FALSE,,10,30.3,6,L,TRUE,TRUE
10,30.4,7,L,TRUE,TRUE,,10,30.1,7,R,TRUE,TRUE,,10,30,8,L,TRUE,FALSE,,10,30.3,7,R,TRUE,TRUE
10,30.4,8,R,TRUE,TRUE,,10,30.1,8,L,TRUE,TRUE,,11,7.3,1,R,FALSE,FALSE,,10,30.3,8,L,TRUE,TRUE
11,7.5,1,R,TRUE,TRUE,,11,7.5,1,L,FALSE,TRUE,,11,7.3,2,R,TRUE,TRUE,,11,7.6,1,R,FALSE,FALSE
11,7.5,2,R,TRUE,TRUE,,11,7.5,2,L,FALSE,FALSE,,11,7.3,3,R,FALSE,FALSE,,11,7.6,2,R,TRUE,TRUE
11,7.5,3,R,TRUE,TRUE,,11,7.5,3,R,TRUE,FALSE,,11,7.3,4,L,FALSE,FALSE,,11,7.6,3,L,FALSE,FALSE
11,7.5,4,L,TRUE,FALSE,,11,7.5,4,R,TRUE,FALSE,,11,7.3,5,L,FALSE,FALSE,,11,7.6,4,R,FALSE,FALSE
11,7.5,5,L,TRUE,FALSE,,11,7.5,5,L,FALSE,FALSE,,11,7.3,6,R,FALSE,FALSE,,11,7.6,5,L,FALSE,FALSE
11,7.5,6,R,FALSE,FALSE,,11,7.5,6,L,FALSE,FALSE,,11,7.3,7,L,FALSE,FALSE,,11,7.6,6,L,FALSE,FALSE
11,7.5,7,L,TRUE,FALSE,,11,7.5,7,R,TRUE,FALSE,,11,7.3,8,L,FALSE,FALSE,,11,7.6,7,R,FALSE,FALSE
11,7.5,8,L,TRUE,FALSE,,11,7.5,8,R,FALSE,FALSE,,12,7.3,1,R,FALSE,FALSE,,11,7.6,8,L,FALSE,FALSE
12,7.5,1,R,TRUE,TRUE,,12,7.5,1,L,FALSE,FALSE,,12,7.3,2,R,FALSE,FALSE,,12,7.7,1,R,TRUE,TRUE
12,7.5,2,R,FALSE,FALSE,,12,7.5,2,L,FALSE,FALSE,,12,7.3,3,L,TRUE,TRUE,,12,7.7,2,R,TRUE,TRUE
12,7.5,3,L,FALSE,FALSE,,12,7.5,3,L,FALSE,FALSE,,12,7.3,4,L,FALSE,FALSE,,12,7.7,3,L,TRUE,TRUE
12,7.5,4,L,TRUE,FALSE,,12,7.5,4,R,FALSE,FALSE,,12,7.3,5,L,FALSE,FALSE,,12,7.7,4,R,TRUE,TRUE
12,7.5,5,R,FALSE,FALSE,,12,7.5,5,L,FALSE,FALSE,,12,7.3,6,R,FALSE,FALSE,,12,7.7,5,R,FALSE,FALSE
12,7.5,6,L,FALSE,FALSE,,12,7.5,6,R,FALSE,FALSE,,12,7.3,7,R,TRUE,TRUE,,12,7.7,6,L,TRUE,TRUE
12,7.5,7,R,FALSE,FALSE,,12,7.5,7,R,FALSE,FALSE,,12,7.3,8,L,TRUE,TRUE,,12,7.7,7,L,TRUE,TRUE
12,7.5,8,L,TRUE,FALSE,,12,7.5,8,R,FALSE,FALSE,,13,3.6,1,R,FALSE,FALSE,,12,7.7,8,L,TRUE,FALSE
13,3.75,1,R,FALSE,FALSE,,13,3.75,1,L,FALSE,FALSE,,13,3.6,2,L,FALSE,FALSE,,13,3.75,1,R,FALSE,FALSE
13,3.75,2,R,FALSE,FALSE,,13,3.75,2,R,FALSE,FALSE,,13,3.6,3,R,FALSE,FALSE,,13,3.75,2,L,FALSE,FALSE
13,3.75,3,L,FALSE,FALSE,,13,3.75,3,R,FALSE,FALSE,,13,3.6,4,R,FALSE,FALSE,,13,3.75,3,R,FALSE,FALSE
13,3.75,4,L,FALSE,FALSE,,13,3.75,4,R,FALSE,FALSE,,13,3.6,5,R,FALSE,FALSE,,13,3.75,4,L,FALSE,FALSE
13,3.75,5,L,FALSE,FALSE,,13,3.75,5,L,FALSE,FALSE,,13,3.6,6,L,FALSE,FALSE,,13,3.75,5,L,FALSE,FALSE
13,3.75,6,R,FALSE,FALSE,,13,3.75,6,R,FALSE,FALSE,,13,3.6,7,L,FALSE,FALSE,,13,3.75,6,L,FALSE,FALSE
13,3.75,7,L,FALSE,FALSE,,13,3.75,7,L,FALSE,FALSE,,13,3.6,8,L,FALSE,FALSE,,13,3.75,7,R,FALSE,FALSE
13,3.75,8,R,FALSE,FALSE,,13,3.75,8,L,FALSE,FALSE,,14,60.2,1,R,TRUE,TRUE,,13,3.75,8,R,FALSE,FALSE
