PSI,latency,initialVelocity,timeToClose,timeToOpen,timeUnder20,oscillations,oscillationRate,blinks,blinkRate,auc,maxCloseVelocity,maxOpenVelocity,excursion,timeToOscillation
5.43,64.5,1.67,37.5,47.5,10.5,8.5,2.19,4.5,69.38,3750.5,2.665,1.835,60,350.5
5.11,61.14285714,2.421428571,29.28571429,76,42.71428571,6.571428571,2.36,2.714285714,61.89714286,6206.5,4.024285714,2.118571429,65.14285714,595
5.19,58.33333333,2.473333333,27.33333333,92,50,4.666666667,1.99,2.333333333,52.44333333,8534.166667,4.223333333,2.89,70.33333333,891.3333333
5.04,55.5,3.445,34,74.5,48,1.5,1.28,1,42.195,8225.75,5.335,3,103.5,774
10.71,58.75,2.075,41.875,72.125,43.75,7.444444444,2.522222222,3.333333333,69.19666667,6903.142857,3.261428571,2.238571429,81.85714286,778
10.5,64.8,2.14,41.8,61.4,24.2,4.8,1.304,2.4,39.144,5640.5,3.532,2.134,79.2,1202.4
10.81,62.5,1.925,45,37,26.5,4.5,1.705,2.5,55.755,3921.75,3,2.335,72.5,739.5
11.1,65,1.456,43.6,75.8,22.8,5.4,1.688,2.2,43.28,5466.2,1.884,1.4,53.8,990.6
20.16,53.5,3.255,35.5,164.5,104.8333333,8.142857143,2.267142857,3.428571429,57.67714286,18894.16667,5.001666667,3.5,108.3333333,837.5
19.61,54.4,2.636,38,76.8,50.6,7,7,7,7,8238.1,4.6,2.534,96.8,1131
20.97,60.375,2.7275,37.75,72.5,46.875,7.625,2.01,3.75,59.78875,7403.1875,4.1225,2.33375,89.75,862.375
20.73,58.5,2.89,33.625,89.125,62.875,8.75,2.36375,4.375,70.59375,9389.5625,4.125,2.63625,92.75,650.5
19.54,57.71428571,2.187142857,41.14285714,67.42857143,29.14285714,4.625,1.48125,2.5,47.94875,6353.571429,3.334285714,1.808571429,82.85714286,702.5714286
40.13,45.42857143,4.345714286,36.42857143,118.1428571,70,8.428571429,2.204285714,3.857142857,61.28142857,15229.28571,7.082857143,3.821428571,137.7142857,879.2857143
39.85,47,4.39,37.4,99.2,53,6.6,2.304,3,59.954,12965.9,7.732,3.202,138,749
40.95,52.33333333,3.235,35,79.83333333,33.33333333,5.714285714,1.672857143,2.857142857,50.42285714,8961.416667,5.166666667,2.498333333,109.3333333,803
40.32,54.28571429,3.002857143,35,83.14285714,52,4.625,1.415,2.375,43.61,8932,4.951428571,2.475714286,101.2857143,969